# emoji	category	en keywords	bn keywords	parent	name
📲	objects	arrow,build,call,cell,communication,mobile,phone,receive,telephone,mobile phone with arrow,with	কল,গ্রহণ,টেলিফোন,তীর,তীর সহ মোবাইল ফোন,ফোন,বস্তু,মোবাইল,সেল		mobile phone with arrow
☎️	objects	phone,telephone	টেলিফোন,ফোন		telephone
📞	objects	communication,phone,receiver,telephone,voip,telephone receiver	টেলিফোন,ফোন,যোগাযোগ,রিসিভার,টেলিফোন রিসিভার		telephone receiver
📟	objects	communication,pager	পেজার,যোগাযোগ		pager
📠	objects	communication,fax,machine,fax machine	ফ্যাক্স,ফ্যাক্স মেশিন		fax machine
🔋	objects	battery,power,charge,energy	ব্যাটারি,চার্জ,শক্তি		battery
🪫	objects	battery,drained,electronic,energy,low,power,low battery	lএনার্জি কম,এনার্জি কম,বৈদ্যুতিন,ব্যাটারি কম		low battery
🔌	objects	electric,electricity,plug,electric plug,power,charge	ইলেকট্রিক প্ল্যাগ,প্লাগ,বিদ্যুৎ,বৈদ্যুতিক,চার্জ		electric plug
💻	objects	computer,laptop,office,pc,personal,work,coding	অফিস,কম্পিউটার,পিসি,ব্যক্তিগত,ল্যাপটপ,ল্যাপটপ কম্পিউটার,কাজ,কোডিং		laptop
🖥️	objects	computer,desktop,monitor,desktop computer,pc	কম্পিউটার,ডেস্কটপ,ডেস্কটপ কম্পিউটার,মনিটর		desktop computer
🖨️	objects	computer,printer,print,office	কম্পিউটার,প্রিন্টার,ছাপা,অফিস		printer
⌨️	objects	computer,keyboard,typing,keys	কম্পিউটার,কিবোর্ড,কীবোর্ড,টাইপিং		keyboard
🖱️	objects	computer,mouse,computer mouse,click	কম্পিউটার,কম্পিউটারের মাউস,বোতাম,মাউস,ক্লিক		computer mouse
🖲️	objects	computer,trackball	কম্পিউটার,জিনিস,ট্র্যাকবল,বস্তু		trackball
💽	objects	computer,disk,minidisk,optical,computer disk	অপটিক্যাল,কম্পিউটার,ডিস্ক,মিনি ডিস্ক,কম্পিউটার ডিস্ক		computer disk
💾	objects	computer,disk,floppy,floppy disk,save,storage,retro	কম্পিউটার,ডিস্ক,ফ্লপি,ফ্লপি ডিস্ক,সেভ,সংরক্ষণ		floppy disk
💿	objects	blu-ray,cd,computer,disk,dvd,optical,optical disk,disc,music,storage	অপটিক্যাল,অপ্টিক্যাল ডিস্ক,কম্পিউটার,ডিভিডি,ডিস্ক,সিডি		optical disk
📀	objects	blu-ray,cd,computer,disk,dvd,optical,disc,movie,storage	অপটিক্যাল,কম্পিউটার,ডিভিডি,ডিস্ক,নীল রশ্মি,সিডি		dvd
🧮	objects	abacus,calculation,calculator	অ্যাবাকাস,ক্যালকুলেটর,গণনা,গণনাযন্ত্র,হিসাব		abacus
🎥	objects	bollywood,camera,cinema,film,hollywood,movie,record,movie camera,video	ক্যামেরা,চলচ্চিত্র,মুভি,সিনেমা,মুভি ক্যামেরা,ভিডিও		movie camera
🎞️	objects	cinema,film,frames,movie,film frames	ফিল্ম,ফিল্মের ফ্রেম,ফ্রেম,মুভি,সিনেমা		film frames
📽️	objects	cinema,film,movie,projector,video,film projector	প্রজেক্টর,ফিল্ম,ভিডিও,মুভি,সিনেমা,ফিল্ম প্রজেক্টর		film projector
🎬	objects	action,board,clapper,movie,clapper board,film,cinema	অ্যাকশন,ক্ল্যাপার,ক্ল্যাপার বোর্ড,মুভি,সিনেমা,চলচ্চিত্র		clapper board
📺	objects	television,tv,video,watch,screen	টিভি,টেলিভিশন,ভিডিও,দেখা		television
📷	objects	camera,photo,selfie,snap,tbt,trip,video,picture,photography	ক্যামেরা,ভিডিও,ছবি,ফটো		camera
📸	objects	camera,flash,video,camera with flash,with,camera flash,photo,selfie,snapshot	ক্যামেরা,ফ্ল্যাশ,ফ্ল্যাশযুক্ত ক্যামেরা,ভিডিও,ছবি,সেলফি		camera with flash
📹	objects	camcorder,camera,tbt,video,video camera,record,film	ক্যামেরা,ভিডিও,ভিডিও ক্যামেরা,রেকর্ড		video camera
📼	objects	old,school,tape,vcr,vhs,video,videocassette	টেপ,ভিএচইএস,ভিডিও,ভিডিও ক্যাসেট		videocassette
🔍	objects	glass,lab,left,left-pointing,magnifying,science,search,tilted,tool,magnifying glass tilted left	অনুসন্ধান,আতস,কাচ,কাঁচ,টুল,বাঁদিকে হেলানো আতস কাঁচ,সরঞ্জাম		magnifying glass tilted left
🔎	objects	contact,glass,lab,magnifying,right,right-pointing,science,search,tilted,tool,magnifying glass tilted right	অনুসন্ধান,আতস,কাচ,কাঁচ,ডানদিকে হেলানো আতস কাঁচ,সরঞ্জাম		magnifying glass tilted right
🕯️	objects	candle,light,flame,wax	আলো,মোমবাতি,শিখা		candle
💡	objects	bulb,comic,electric,idea,light,light bulb,bright,electricity	আলো,আলোর বাল্ব,কমিক,ধারণা,বাল্ব,বৈদ্যুতিক,বাতি,আইডিয়া,বুদ্ধি		light bulb
🔦	objects	electric,flashlight,light,tool,torch	আলো,ফ্ল্যাশ লাইট,বৈদ্যুতিক,মশাল,সরঞ্জাম,টর্চ,লাইট		flashlight
🏮	objects	bar,lantern,light,paper,red,restaurant,red paper lantern,festival	আলো,জাপানি,বার,রেস্টুরেন্ট,রেস্তরাঁ,লণ্ঠন,লাল,লাল কাগজের লণ্ঠন,উৎসব		red paper lantern
🪔	objects	diya,lamp,light,oil,diya lamp,diwali,oil lamp	আলো,তেল,প্রদীপ,বাতি,দিয়া,দীপাবলি		diya lamp
📔	objects	book,cover,decorated,decorative,education,notebook,school,writing,notebook with decorative cover,with	আবরণ,নোটবই,বই,সজ্জিত,সজ্জিত মলাটযুক্ত নোটবই		notebook with decorative cover
📕	objects	book,closed,education,closed book	পড়াশুনা,বই,বই বন্ধ করা,বন্ধ,বন্ধ বই		closed book
📖	objects	book,education,fantasy,knowledge,library,novels,open,reading,open book,read,study	খোলা,বই,খোলা বই,পড়া		open book
📗	objects	book,education,fantasy,green,library,reading,green book	বই,সবুজ,সবুজ বই		green book
📘	objects	blue,book,education,fantasy,library,reading,blue book	নীল,বই,নীল বই		blue book
📙	objects	book,education,fantasy,library,orange,reading,orange book	কমলা,কমলা রঙয়ের বই,পড়াশুনা,বই,লেখাপড়া,কমলা বই		orange book
📚	objects	book,books,education,fantasy,knowledge,library,novels,reading,school,study,read	বই,পড়া,লাইব্রেরি,শিক্ষা,পাঠ		books
📓	objects	notebook	নোটবই,নোটবুক		notebook
📒	objects	ledger,notebook	খাতা,নোটবই,নোটের খাতা		ledger
📃	objects	curl,document,page,paper,page with curl,with	কুন্ডলী পাকানো,ডকুমেন্ট,নথি,পৃষ্ঠা,মোড়ানো পৃষ্ঠা		page with curl
📜	objects	paper,scroll,document,ancient	কাগজ,পাকানো,স্ক্রল,দলিল		scroll
📄	objects	document,facing,page,paper,up,page facing up,file	কাগজ,ডকুমেন্ট,নথি,পৃষ্ঠা,পৃষ্ঠাটির মুখ উপরের দিকে,দলিল,ফাইল		page facing up
📰	objects	communication,news,newspaper,paper,press,headline	কাগজ,পেপার,যোগাযোগ,সংবাদ,সংবাদপত্র,খবর,পত্রিকা		newspaper
🗞️	objects	news,newspaper,paper,rolled,rolled-up,rolled-up newspaper,rolled newspaper,delivery	কাগজ,খবরের কাগজ,পাকানো,রোল করা খবরের কাগজ,রোল করা সংবাদপত্র,সংবাদ,সংবাদপত্র		rolled-up newspaper
📑	objects	bookmark,mark,marker,tabs,bookmark tabs	চিহ্ন,ট্যাব,বুকমমার্ক ট্যাব,বুকমার্ক,মার্কার		bookmark tabs
🔖	objects	bookmark,mark	চিহ্ন,বুকমার্ক		bookmark
🏷️	objects	label,tag	লেবেল		label
🪙	objects	coin,dollar,euro,gold,metal,money,rich,silver,treasure	ইউরো,কয়েন,টাকা,ডলার,ধনী,ধাতু,মুদ্রা,মোহর,রুপা,সোনা		coin
💰	objects	bag,bank,bet,billion,cash,cost,dollar,gold,million,money,moneybag,paid,paying,pot,rich,win,money bag,wealth	খরচ,টাকা,টাকার ব্যাগ,ডলার,দাম,ব্যাংক,ব্যাগ,মানিব্যাগ,ধনী,সম্পদ,নগদ		money bag
🪎	objects	gem,gold,jewels,loot,money,prize,silver,valuables,wealth,treasure chest,treasure,chest	ধনভাণ্ডার,পুরস্কার,মূল্যবান,মোহর,রত্ন,রূপা,লুট,সোনা,গুপ্তধন		treasure chest
💴	objects	bank,banknote,bill,currency,money,note,yen,yen banknote,cash,japan	ইয়েন,কাগজের মুদ্রা,টাকা,নোট,বিল,ব্যাংক,ব্যাঙ্ক,ব্যাঙ্কনোট,মুদ্রা,ইয়েন ব্যাঙ্কনোট,ইয়েন		yen banknote
💵	objects	bank,banknote,bill,currency,dollar,money,note,dollar banknote,cash,usd	টাকা,ডলার,নোট,বিল,ব্যাঙ্ক,ব্যাঙ্কনোট,মুদ্রা,ডলার ব্যাঙ্কনোট,নগদ		dollar banknote
💶	objects	100,bank,banknote,bill,currency,euro,money,note,rich,euro banknote,cash,europe	ইউরো,কাগজের মুদ্রা,টাকা,নোট,বড়লোক,বিল,ব্যাংক,ব্যাঙ্ক,ব্যাঙ্কনোট,মুদ্রা,ইউরো ব্যাঙ্কনোট		euro banknote
💷	objects	bank,banknote,bill,billion,cash,currency,money,note,pound,pounds,pound banknote,uk	কাগজের মুদ্রা,টাকা,নোট,পাউন্ড,বিল,ব্যাংক,ব্যাঙ্ক,ব্যাঙ্কনোট,মুদ্রা,পাউন্ড ব্যাঙ্কনোট		pound banknote
💸	objects	bank,banknote,bill,billion,cash,dollar,fly,million,money,note,pay,wings,money with wings,with,money wings,flying money,spend,expensive,loss	ওড়া,টাকা,টাকার সাথে পাখা,ডলার,ডানা,নোট,বিল,ব্যাংক,ব্যাঙ্ক,খরচ,ব্যয়,দামি		money with wings
💳	objects	bank,card,cash,charge,credit,money,pay,credit card,payment	ঋণ,কার্ড,ক্রেডিট কার্ড,টাকা,ব্যাংক,পেমেন্ট		credit card
🧾	objects	accounting,bookkeeping,evidence,invoice,proof,receipt	অ্যাকাউন্টিং,ইনভয়েস,গণনা,চালান,দলিল,নথি,প্রমাণ,রসিদ,হিসাব,হিসাবরক্ষণ		receipt
💹	objects	bank,chart,currency,graph,growth,increasing,market,money,rise,trend,upward,yen,chart increasing with yen,with	ইয়েন,ইয়েনের সাথে ক্রমবর্ধমান চার্ট,গ্রাফ,চার্ট,টাকা,বৃদ্ধি,ব্যাংক,মুদ্রা		chart increasing with yen
✉️	objects	e-mail,email,envelope,letter,mail,message	ই-মেল,ইমেল,খাম,চিঠি,মেইল,বার্তা		envelope
📧	objects	e-mail,email,letter,mail,message,inbox	ই-মেল,ইমেল,চিঠি,মেল,ইমেইল,মেইল,বার্তা		e-mail
📨	objects	delivering,e-mail,email,envelope,incoming,letter,mail,receive,sent,incoming envelope,incoming mail,message	আগত,ই-মেল,ইমেল,খাম,গ্রহণ,চিঠি,মেল,আগত খাম,আগত মেইল,বার্তা		incoming envelope
📩	objects	arrow,communication,down,e-mail,email,envelope,letter,mail,outgoing,send,sent,envelope with arrow,with	ই-মেল,ইমেল,খাম,চিঠি,তীর,তীর যুক্ত খাম,তীরের সাথে খাম,নিম্নমুখী,পাঠানো মেল,বহির্গামী		envelope with arrow
📤	objects	box,email,letter,mail,outbox,sent,tray,outbox tray,send,upload	আউটবক্স,চিঠি,ট্রে,প্রেরিত,বাক্স,মেল,আউটবক্স ট্রে,পাঠানো,আপলোড,মেইল		outbox tray
📥	objects	box,email,inbox,letter,mail,receive,tray,zero,inbox tray,download	ইনবক্স,গ্রহণ,চিঠি,ট্রে,বাক্স,মেল,ইনবক্স ট্রে,ডাউনলোড		inbox tray
📦	objects	box,communication,delivery,package,parcel,shipping	কুরিয়ার,প্যাকেজ,বাক্স,মোড়ক,শিপিং,ডেলিভারি,পার্সেল		package
📫	objects	closed,communication,flag,mail,mailbox,postbox,raised,closed mailbox with raised flag,with	উত্থিত পতাকার সাথে বন্ধ মেলবাক্স,ডাক বাক্স,ডাকবাক্স,বন্ধ,মেল,মেলবাক্স		closed mailbox with raised flag
📪	objects	closed,flag,lowered,mail,mailbox,postbox,closed mailbox with lowered flag,with	ডাক বাক্স,নত,নত করা পতাকার সাথে বন্ধ মেলবাক্স,বন্ধ,মেল,মেলবাক্স		closed mailbox with lowered flag
📬	objects	flag,mail,mailbox,open,postbox,raised,open mailbox with raised flag,with	উত্থিত পতাকার সাথে খোলা মেলবাক্স,খোলা,ডাক বাক্স,ডাকবাক্স,মেল,মেলবাক্স		open mailbox with raised flag
📭	objects	flag,lowered,mail,mailbox,open,postbox,open mailbox with lowered flag,with	খোলা,ডাক বাক্স,ডাকবাক্স,নত,নত পতাকার সাথে খোলা মেলবাক্স,পতাকা নামানো,পোস্টবক্স,মেল,মেলবাক্স		open mailbox with lowered flag
📮	objects	mail,mailbox,postbox	পোস্টবক্স,মেল,মেলবাক্স		postbox
🗳️	objects	ballot,box,ballot box with ballot,with	বাক্স,ব্যালট,ব্যালটের সাথে ব্যালট বক্স		ballot box with ballot
✏️	objects	pencil,write,edit,draw	পেনসিল,পেন্সিল,লেখা,আঁকা		pencil
✒️	objects	black,nib,pen,black nib	কলম,কালো নিব,নিব,পেন		black nib
🖋️	objects	fountain,pen,fountain pen	কলম,পেন,ফাউন্টেন,ফাউন্টেন পেন		fountain pen
🖊️	objects	ballpoint,pen,write	কলম,পেন,বলপেন,লেখা		pen
🖌️	objects	paintbrush,painting,paint,art,draw	পেইন্ট ব্রাশ,পেন্টিং,তুলি,রং,আঁকা,শিল্প		paintbrush
🖍️	objects	crayon,draw,color	ক্রেয়ন,মোমরং,ক্রেয়ন,আঁকা,রং		crayon
📝	objects	communication,media,memo,notes,pencil,note,write,edit	পেন্সিল,বস্তু,মিডিয়া,মেমো,যোগাযোগ,স্মারকলিপি,নোট,লেখা,খাতা		memo
💼	objects	briefcase,office	ব্রিফকেস		briefcase
📁	objects	file,folder,file folder,directory,documents	ফাইল,ফোল্ডার,ফাইল ফোল্ডার,নথি		file folder
📂	objects	file,folder,open,open file folder,open folder,directory	খোলা,ফাইল,ফোল্ডার,ফাইল ফোল্ডার খোলা,খোলা ফোল্ডার		open file folder
🗂️	objects	card,dividers,index,card index dividers,card index,files,organize	কার্ড,কার্ডের সূচীর বিভাজক,বিভক্ত,সূচক,ফাইল,সংগঠন		card index dividers
📅	objects	calendar,date,schedule,day	ক্যালেন্ডার,তারিখ,সময়সূচি,দিন		calendar
📆	objects	calendar,tear-off,tear-off calendar,tear off calendar,date,schedule	ক্যালেন্ডার,ক্যালেন্ডারের পাতা ছেঁড়া,টিয়ার-অফ ক্যালেন্ডার,দিনপঞ্জিকা,তারিখ		tear-off calendar
🗒️	objects	note,notepad,pad,spiral,spiral notepad	নোট,পেঁচানো,প্যাড,স্পাইরাল নোটপ্যাড		spiral notepad
🗓️	objects	calendar,pad,spiral,spiral calendar,date,schedule,plan	ক্যালেন্ডার,পেঁচানো,প্যাড,স্পাইরাল ক্যালেন্ডার,তারিখ,পরিকল্পনা		spiral calendar
📇	objects	card,index,old,rolodex,school,card index	কার্ড,কার্ড ইনডেক্স,কার্ডের সূচী,রোলোডেক্স,সূচক		card index
📈	objects	chart,data,graph,growth,increasing,right,trend,up,upward,chart increasing,chart up,increase,profit,stocks	উর্ধ্বমুখী,ক্রমবর্ধমান চার্ট,গ্রাফ,চার্ট,প্রবণতা,বৃদ্ধি,ঊর্ধ্বমুখী,লাভ,শেয়ার		chart increasing
📉	objects	chart,data,decreasing,down,downward,graph,negative,trend,chart decreasing,chart down,decrease,loss,decline,stocks	ক্রমহ্রাসমান চার্ট,গ্রাফ,চার্ট,নিম্নমুখী,প্রবণতা,হ্রাস,ক্ষতি,পতন		chart decreasing
📊	objects	bar,chart,data,graph,bar chart,statistics,analytics	গ্রাফ,চার্ট,বার,বার চার্ট,পরিসংখ্যান,ডেটা		bar chart
📋	objects	clipboard,do,list,notes	কাজের তালিকা,কী করতে হবে,ক্লিপবোর্ড,নোট,ফর্দ		clipboard
📌	objects	collage,pin,pushpin,location,important	পিন,পুশপিন,গুরুত্বপূর্ণ		pushpin
📍	objects	location,map,pin,pushpin,round,round pushpin,here	গোলাকার পুশপিন,পিন,পুশ পিন,লোকেশন,অবস্থান,মানচিত্র		round pushpin
📎	objects	paperclip,attach,clip,office	পেপারক্লিপ,পেপার ক্লিপ,সংযুক্তি,ক্লিপ		paperclip
🖇️	objects	link,linked,paperclip,paperclips,linked paperclips	জিনিস,পেপার ক্লিপ,বস্তু,লিংক,সংযুক্ত পেপার ক্লিপ		linked paperclips
📏	objects	angle,edge,math,ruler,straight,straightedge,straight ruler,measure,school	রুলার,সোজা প্রান্ত,সোজা রুলার,স্কেল,মাপা		straight ruler
📐	objects	angle,math,rule,ruler,set,slide,triangle,triangular,triangular ruler,triangle ruler,measure,geometry	ত্রিভুজ,ত্রিভুজাকৃতি রুলার,রুলার,সেট,সেট স্কয়ার,জ্যামিতি,মাপা		triangular ruler
✂️	objects	cut,cutting,paper,scissors,tool,craft	কাঁচি,টুল,সরঞ্জাম,কাটা		scissors
🗃️	objects	box,card,file,card file box	কার্ড,কার্ডের ফাইল বক্স,ফাইল,বাক্স		card file box
🗄️	objects	cabinet,file,filing,paper,file cabinet	ক্যাবিনেট,ফাইল,ফাইলের ক্যাবিনেট		file cabinet
🗑️	objects	can,garbage,trash,waste,wastebasket,bin,delete	নোংরা ফেলার ঝুড়ি,বাজে কাগজ ফেলার ঝুঁড়ি,ময়লা ফেলার ঝুড়ি,ময়লা,আবর্জনা,ঝুড়ি,মুছা		wastebasket
🔒	objects	closed,lock,locked,private,secure	গোপন,তালা,বন্ধ,তালা বন্ধ,নিরাপদ		locked
🔓	objects	cracked,lock,open,unlock,unlocked,access	খোলা,তালা,খোলা তালা,আনলক		unlocked
🔏	objects	ink,lock,locked,nib,pen,privacy,locked with pen,with	কলম,কালি,গোপনীয়তা,তালা,নিব,পেন ও তালা,পেনের সাথে তালা		locked with pen
🔐	objects	bike,closed,key,lock,locked,secure,locked with key,with	চাবি,চাবি দিয়ে তালা বন্ধ করা,তালা,নিরাপদ,বন্ধ		locked with key
🔑	objects	key,keys,lock,major,password,unlock,access	চাবি,তালা,পাসওয়ার্ড,পাসওয়ার্ড,আনলক		key
🗝️	objects	clue,key,lock,old,old key,antique,unlock	চাবি,তালা,পুরানো,পুরোনো চাবি,সূত্র,পুরানো চাবি		old key
🔨	objects	hammer,home,improvement,repairs,tool,build,fix	সরঞ্জাম,হাতুড়ি,হাতুড়ি,যন্ত্র,নির্মাণ		hammer
🪓	objects	ax,axe,chop,hatchet,split,wood	কাঠ,কাঠ কাটা,কুঠার,কুড়াল,ক্ষুদ্র কুঠার,টুকরো করা,ফালি করা		axe
⛏️	objects	hammer,mining,pick,tool	কুড়াল,খনন,টুল,সরঞ্জাম		pick
⚒️	objects	hammer,pick,tool,hammer and pick,and,hammer pick,tools,work	গাইতি,টুল,সরঞ্জাম,হাতুড়ি,হাতুড়ি এবং কুড়াল,হাতুড়ি,যন্ত্র,কাজ		hammer and pick
🛠️	objects	hammer,spanner,tool,wrench,hammer and wrench,and,hammer wrench,tools,repair,build,settings	রেঞ্চ,সরঞ্জাম,হাতুড়ি,হাতুড়ি এবং রেঞ্চ,যন্ত্রপাতি,মেরামত,নির্মাণ		hammer and wrench
🗡️	objects	dagger,knife,weapon,sword,blade	অস্ত্র,ছুরি,তলোয়ার,ছোরা		dagger
⚔️	objects	crossed,swords,weapon,crossed swords	অস্ত্র,আড়াআড়ি ভাবে থাকা,আড়াআড়ি রাখা তলোয়ার,আড়াআড়িভাবে রাখা তলোয়ার,তলোয়ার		crossed swords
💣	objects	bomb,boom,comic,dangerous,explosion,hot	কমিক,বোমা		bomb
🪃	objects	boomerang,rebound,repercussion,weapon	অস্ত্র,একধরনের ক্ষেপণাস্ত্র,প্রতিক্রিয়া,প্রতিক্ষিপ্ত,বুমেরাং,বুমের‌্যাঙ		boomerang
🏹	objects	archer,archery,arrow,bow,sagittarius,tool,weapon,zodiac,bow and arrow,and	অস্ত্র,তীর,তীরন্দাজ,ধনু,ধনুক,ধনুরাশি,রাশিচক্র,সরঞ্জাম,তীর ধনুক		bow and arrow
🛡️	objects	shield,weapon,protect,defense,security	অস্ত্র,ঢাল,রক্ষা,নিরাপত্তা		shield
🪚	objects	carpenter,carpentry,cut,lumber,saw,tool,trim,carpentry saw	করাত,করাতি,কাটা,চিরা,ছাঁটা,ছুতারের কাজের করাত,ছুতোর,টুল,যন্ত্রপাতি		carpentry saw
🔧	objects	home,improvement,spanner,tool,wrench,fix,repair	টুল,রেঞ্চ,সরঞ্জাম,যন্ত্র,মেরামত		wrench
🪛	objects	flathead,handy,screw,screwdriver,tool	যন্ত্রপাতি,স্ক্রু,স্ক্রুড্রাইভার		screwdriver
🔩	objects	bolt,home,improvement,nut,tool,nut and bolt,and,nut bolt,screw,hardware	টুল,নাট,নাট এবং বোল্ট,নাট-বল্টু,বল্টু,বোল্ট,সরঞ্জাম,নাট বল্টু,স্ক্রু,যন্ত্রাংশ		nut and bolt
⚙️	objects	cog,cogwheel,gear,tool,settings,machine,config	গিয়ার,টুল,সরঞ্জাম,গিয়ার,সেটিংস,যন্ত্র		gear
🗜️	objects	clamp,compress,tool,vice	কম্প্রেশন,ক্ল্যাম্প,টুলস,ভাইস,সরঞ্জাম		clamp
⚖️	objects	balance,justice,libra,scale,scales,tool,weight,zodiac,balance scale,law	ওজন,তুলা,তুলা রাশি,বিচার,ভারসাম্য,ভারসাম্য স্কেল,রাশিচক্র,সরঞ্জাম,দাঁড়িপাল্লা,ন্যায়বিচার,আইন		balance scale
🦯	objects	accessibility,blind,cane,probing,white,white cane	অন্ধ,অন্ধ ব্যক্তি,অন্ধের লাঠি,অ্যাক্সেসিবিলিটি,লাঠি		white cane
🔗	objects	link,links	লিংক,লিঙ্ক		link
⛓️‍💥	objects	break,breaking,broken,chain,cuffs,freedom,broken chain	কাফ,চেইন,ভাঙা শিকল,ভাঙ্গা,শিকল,স্বাধীনতা		broken chain
⛓️	objects	chain,chains	চেইন,চেন,শিকল,শৃঙ্খল		chains
🪝	objects	catch,crook,curve,ensnare,hook,point,selling	আঁকড়ি,ধরা,ফাঁদে ফেলা,বড়শি,বঁড়শি,বাঁক,বাঁকানো,সেলিং পয়েন্ট,হুক		hook
🧰	objects	box,chest,mechanic,red,tool,toolbox	কেস,চেস্ট,টুল,টুলবক্স,বক্স,মিস্ত্রি,মেকানিক,যন্ত্র,লাল বক্স		toolbox
🧲	objects	attraction,horseshoe,magnet,magnetic,negative,positive,shape,u,attract	u আকৃতি,অশ্বখুর,আকর্ষণ,ইতিবাচক নেতিবাচক,চুম্বক,চৌম্বক,চৌম্বকীয়		magnet
🪜	objects	climb,ladder,rung,step	আরোহণ,ওঠা-নামা,চড়াই করা,পদক্ষেপ,মই,মইয়ের ধাপ,সিঁড়ি		ladder
🪏	objects	bury,dig,garden,hole,plant,scoop,shovel,snow,spade	কোদাল,খনন,খোঁড়া,গর্ত,বেলচা,স্কুপ		shovel
⚗️	objects	alembic,chemistry,tool	অ্যালেমবিক,টুল,রসায়ন,সরঞ্জাম		alembic
🧪	objects	chemist,chemistry,experiment,lab,science,test,tube,test tube	কেমিস্ট,গবেষণা,গবেষণাগার,টেস্ট টিউব,পরীক্ষা,বিজ্ঞান,রসায়ন,রসায়নবিদ,ল্যাব,সায়েন্স		test tube
🧫	objects	bacteria,biologist,biology,culture,dish,lab,petri,petri dish	গবেষণাগার,জীববিজ্ঞানী,জীববিদ্যা,পেট্রি ডিশ,ব্যাকটেরিয়া,ল্যাব,সংস্কৃতি		petri dish
🧬	objects	biologist,dna,evolution,gene,genetics,life,science,biology	জিন,জীন,জীবন,জীববিজ্ঞানী,জেনেটিক্স,ডিএনএ,বিবর্তন,বিজ্ঞান		dna
🔬	objects	experiment,lab,microscope,science,tool,research	বিজ্ঞান,মাইক্রোস্কোপ,সরঞ্জাম,অণুবীক্ষণ,গবেষণা		microscope
🔭	objects	contact,extraterrestrial,science,telescope,tool,astronomy,stars,space	টেলিস্কোপ,সরঞ্জাম,দূরবীন,জ্যোতির্বিদ্যা,তারা		telescope
📡	objects	aliens,antenna,contact,dish,satellite,science,satellite antenna	অ্যান্টেনা,উপগ্রহ,ডিশ,স্যাটেলাইট অ্যান্টেনা		satellite antenna
💉	objects	doctor,flu,medicine,needle,shot,sick,syringe,tool,vaccination,injection,vaccine,medical	অসুস্থ,ইঞ্জেকশন,ওষুধ,টিকা,ডাক্তার,ভ্যাকসিন,সরঞ্জাম,সিরিঞ্জ,সূঁচ,ইনজেকশন		syringe
🩸	objects	bleed,blood,donation,drop,injury,medicine,menstruation,drop of blood,of	আঘাত,ঋতুস্রাব,এক ফোঁটা রক্ত,ওষুধ,ঔষধ,রক্ত পরা,রক্তদান,রজঃস্রাব		drop of blood
💊	objects	doctor,drugs,medicated,medicine,pill,pills,sick,vitamin,drug,health,capsule	অসুস্থ,ওষুধ,ডাক্তার,পিল,বড়ি,ভিটামিন,ক্যাপসুল,চিকিৎসা		pill
🩹	objects	adhesive,bandage,adhesive bandage,band aid,injury,heal	আঠালো ব্যান্ডেজ,ছোট ব্যান্ডেজ,ব্যাণ্ডেজ,ব্যান্ডেজ,আঘাত,চিকিৎসা		adhesive bandage
🩼	objects	aid,cane,crutch,disability,help,hurt,injured,mobility,stick	অক্ষমতা,ক্রাচ,গতিশীলতার সহায়ক,বেত,ব্যাথা পাওয়া,লাঠি,সাহায্য চাই		crutch
🩺	objects	doctor,heart,medicine,stethoscope,medical,health	ওষুধ,ঔষধ,ডাক্তার,নিঃশ্বাস,পরীক্ষা করা,শ্বাস প্রশ্বাস,স্টেথোস্কোপ,স্বাস্থ্য,হার্ট,চিকিৎসা		stethoscope
🩻	objects	bones,doctor,medical,skeleton,skull,x-ray,xray	এক্স-রে,কঙ্কাল,ডাক্তার,ডাক্তারি,হাড়		x-ray
🚪	objects	back,closet,door,front,entrance,exit,open	দরজা,পেছনের দরজা,সামনের দরজা,প্রবেশ,বাহির		door
🛗	objects	accessibility,elevator,hoist,lift	অ্যাকসেসিবিলিটি,উত্তোলক যন্ত্র,এলিভেটর,ওঠা-নামা,লিফ্ট,হয়েস্ট		elevator
🪞	objects	makeup,mirror,reflection,reflector,speculum	আয়না,ছদ্মবেশ,ছায়া,দর্পণ,প্রতিচ্ছায়া,প্রতিফলিত,প্রতিবিম্ব,প্রতিরুপ,মেকআপ,সাজসজ্জা		mirror
🪟	objects	air,frame,fresh,opening,transparent,view,window	উইন্ডো,কাঁচের পাল্লা,খোলা,জানালা,তাজা বাতাস,দৃশ্য,ফ্রেম,বাতায়ন,স্বচ্ছ		window
🛏️	objects	bed,hotel,sleep,rest,bedroom	ঘুম,বিছানা,শুয়ে,শোওয়া,হোটেল,বিশ্রাম,খাট		bed
🛋️	objects	couch,hotel,lamp,couch and lamp,and,sofa,living room,relax	কাউচ,পালঙ্ক ও বাতি,ল্যাম্প,সোফা,হোটেল,বসার ঘর,আরাম		couch and lamp
🪑	objects	chair,seat,sit	আসন,চেয়ার,বসার জায়গা		chair
🚽	objects	bathroom,toilet,restroom,wc	টয়লেট,শৌচাগার,টয়লেট,বাথরুম		toilet
🪠	objects	cup,force,plumber,plunger,poop,suction,toilet	চাপদণ্ড,টয়লেট,পরিষ্কার,প্লানজার,প্লামবার,ফোর্স কাপ,রাবার,ল্যাট্রিন,সাকশন,হাতল		plunger
🚿	objects	shower,water,bath,clean,wash	গোছল,জল,পানি,শাওয়ার,ঝরনা,গোসল,স্নান		shower
🛁	objects	bath,bathtub,relax,clean	গোছল,বাথটব,স্নান,বাথটাব,গোসল		bathtub
